tweet_text,time,wait_time
ed/king - kingston terminal - no extended wait,2018-07-10 20:25 +0000,0.0
"kingston terminal wait time - one hour, no wsp boarding pass",2018-07-12 21:30 +0000,1.0
no extended wait departing kingston,2018-07-12 22:50 +0000,0.0
"kingston terminal wait time - one hour, no wsp boarding pass",2018-07-13 20:55 +0000,1.0
no extended wait departing kingston,2018-07-14 01:15 +0000,0.0
"kingston terminal wait time - one hour, no wsp boarding pass",2018-07-14 16:30 +0000,1.0
update: kingston terminal wait 1 hour - wsp boarding passes required,2018-07-14 20:40 +0000,1.0
kingston terminal wait 2 hours - wsp boarding passes required,2018-07-14 22:15 +0000,2.0
kingston terminal wait 3 hours - wsp boarding passes required,2018-07-14 23:00 +0000,3.0
edm/king- update- kingston terminal wait time - two hours - no wsp boarding pass,2018-07-15 00:55 +0000,2.0
no extended wait departing kingston,2018-07-15 03:40 +0000,0.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-07-15 04:55 +0000,1.0
kingston terminal wait 2 hours - wsp boarding passes required,2018-07-15 19:30 +0000,2.0
update -kingston terminal wait 3 hours - wsp boarding passes required,2018-07-15 21:40 +0000,3.0
update -kingston terminal wait 2 hours - wsp boarding passes required,2018-07-16 01:45 +0000,2.0
update: kingston terminal wait time - one hour - no wsp boarding pass,2018-07-16 04:20 +0000,1.0
no extended wait departing kingston,2018-07-16 05:25 +0000,0.0
"kingston terminal wait time - one hour, no wsp boarding pass",2018-07-16 16:05 +0000,1.0
no extended wait departing edmonds or kingston,2018-07-17 02:40 +0000,0.0
"kingston terminal status - 2 hour wait, no wsp boarding pass",2018-07-20 23:30 +0000,2.0
no extended wait departing kingston,2018-07-21 03:20 +0000,0.0
"kingston terminal status - 1 hour wait, no wsp boarding pass",2018-07-21 16:30 +0000,1.0
update -kingston terminal wait 2 hours - wsp boarding passes required,2018-07-21 19:20 +0000,2.0
update: kingston terminal wait time - one hour - no wsp boarding pass,2018-07-21 21:10 +0000,1.0
update: kingston terminal wait time - two hour - no wsp boarding pass,2018-07-22 01:30 +0000,2.0
"kingston terminal status - 1 hour wait, no wsp boarding pass",2018-07-22 17:00 +0000,1.0
update -kingston terminal wait 2 hours - wsp boarding passes required,2018-07-22 20:00 +0000,2.0
update: kingston terminal wait time - one hour - no wsp boarding pass,2018-07-23 05:05 +0000,1.0
